ID,TR,EN,DE,RU,GLUTEN,MILK,EGG,FISH
1,KARİDES SOTE ,SAUTEED OF SHRIMP,SAUTIERTE GARNELLA ,КРЕВЕТКИ НА СКОВОРОДЕ,0,0,0,1
2,ADANA KEBAP,ADANA STYLE KEBAP,ADANA STIL KEBAP,АДАНА КЕБАБ,0,0,0,0
3,ADANA KÖFTE,ADANA STYLE MEAT BALLS ,ADANA STIL FRIKADELLE,"КОТЛЕТЫ ""АДАНА""",0,0,0,0
4,ALABALIK FLETO,FILLET OF TROUT,FORELLE FILET ,ФИЛЕ ФОРЕЛИ,0,0,0,0
5,ALABALIK IZGARA,GRILLED TROUT,GEGRILLTE FORELLE ,ФОРЕЛЬ НА ГРИЛЕ,0,0,0,0
6,ALİ PAŞA PİLAVI,RICE WITH MEATBALLS,REIS MIT FRIKADELLE,ПЛОВ С ФРИКАДЕЛЬКАМИ,0,0,0,0
7,ANDOLEZ ÇORBASI,ANDALUSIAN STYLE SOUP,ANDALUSISCHER STILSUPPE,ОСОБЫЙ СУП ИЗ ПОМИДОРОВ,0,0,0,0
8,ANKARA TAVA,MEAT WITH VERMICELLI,KALBSFLEISCH MIT NUDELN,МЯСО  С ВЕРМИШЕЛЬЮ,0,0,0,0
9,ANTRİKOT,FILET STEAK,ENTRECOTE,АНТРЕКОТ,0,0,0,0
10,MEKSİKA USUKÜ ANTRIKOT IZGARA,MEXICAN STYLE FILLET STEAK,MEXIKANISCHER STILFILET STEAK,АНТРЕКОТ ГРИЛЬ ПО-МЕКСИКАНСКИ,0,0,0,0
11,ANTREKOT IZGARA,GRILLED FILET STEAK,ENTRECOTE GEGRILLTE,АНТРЕКОТ HA ГРИЛЬ,0,0,0,0
12,ARMUT  PATATES,POTATO,KARTOFFEL,КАРТОФЕЛЬ ,0,0,0,0
13,ARPA ŞEHRİYELİ PİLAV,RICE WITH NOODLES                                                                                                                                                                                                                                                                                                                                                                                                                  ,REIS MIT NUDEL,ПЛОВ С ВЕРМИШЕЛЬЮ,0,0,0,0
14,ATEŞ BİBERİYELİ FASÜLYE ÇORBASI,BEAN SOUP WITH HOT PEPPERS,BOHNEN SUPPE MIT PFEFFER,СУП ИЗ ФАСОЛИ С ПЕРЦЕМ,0,0,0,0
15,BADEMLİ PİLAV,RICE WITH ALMONDS,REIS MIT MANDEL,ПЛОВ С МИНДАЛEM,0,0,0,0
